Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-09-18 09:53:34.181,SHORT,0.09999999999854481,44.999999999345164,TIME,2.32
2025-09-18 10:31:25.516,SHORT,-16.599999999998545,-7469.999999999345,TIME,2.04
2025-09-18 11:10:55.115,SHORT,14.0,6300.0,TIME,2.32
2025-09-18 11:47:15.132,SHORT,-5.0,-2250.0,TIME,2.24
2025-09-18 12:23:57.533,SHORT,38.5,17325.0,TIME,2.12
2025-09-18 13:00:02.519,SHORT,9.099999999998545,4094.999999999345,TIME,2.28
2025-09-18 13:35:24.543,SHORT,10.599999999998545,4769.999999999345,TIME,2.24
2025-09-18 14:11:49.736,SHORT,10.700000000000728,4815.000000000327,TIME,2.4
2025-09-18 14:47:22.753,SHORT,-21.0,-9450.0,SL,2.44
2025-09-18 14:59:57.000,SHORT,-21.700000000000728,-9765.000000000327,SL,2.4
2025-09-22 09:15:54.694,LONG,-22.400000000001455,-10080.000000000655,SL,3.04
2025-09-22 09:26:22.943,SHORT,-21.100000000002183,-9495.000000000982,SL,3.2
2025-09-22 09:39:18.208,SHORT,-6.099999999998545,-2744.999999999345,TIME,2.64
2025-09-22 10:15:23.758,SHORT,0.9000000000014552,405.00000000065484,TIME,2.44
2025-09-22 10:52:22.785,SHORT,15.0,6750.0,TIME,2.56
2025-09-22 11:32:59.569,SHORT,-21.0,-9450.0,SL,2.92
2025-09-22 12:02:15.860,SHORT,-3.0,-1350.0,TIME,3.08
2025-09-22 12:38:53.806,SHORT,-16.0,-7200.0,TIME,2.12
2025-09-22 13:18:09.589,SHORT,-0.7000000000007276,-315.0000000003274,TIME,2.32
2025-09-22 13:58:04.152,SHORT,8.0,3600.0,TIME,2.92
2025-09-22 14:34:24.683,LONG,-23.299999999999272,-10484.999999999673,SL,2.84
2025-09-22 14:47:43.189,SHORT,-21.799999999999272,-9809.999999999673,SL,3.4
2025-09-23 09:16:46.334,SHORT,59.70000000000073,26865.000000000327,TP,2.84
2025-09-23 09:43:23.617,SHORT,-21.299999999999272,-9584.999999999673,SL,3.12
2025-09-23 10:14:28.602,SHORT,15.299999999999272,6884.999999999673,TIME,2.72
2025-09-23 10:52:57.143,SHORT,25.900000000001455,11655.000000000655,TIME,2.04
2025-09-23 11:28:49.905,SHORT,-22.100000000002183,-9945.000000000982,SL,2.24
2025-09-23 12:01:37.428,SHORT,-21.0,-9450.0,SL,1.96
2025-09-23 12:23:56.953,SHORT,-22.0,-9900.0,SL,2.32
2025-09-23 12:38:12.226,LONG,-21.099999999998545,-9494.999999999345,SL,2.8
2025-09-23 12:50:26.553,SHORT,-12.0,-5400.0,TIME,2.28
2025-09-23 13:30:02.608,SHORT,-21.0,-9450.0,SL,2.36
