Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-05,2025-09-05 11:18:34.449,2025-09-05 11:30:21.296,SHORT,24780.9,24801.7,-21.799999999999272,-9809.999999999673,SL
2025-09-05,2025-09-05 13:00:36.277,2025-09-05 13:12:53.257,SHORT,24745.1,24767.6,-23.5,-10575.0,SL
2025-09-05,2025-09-05 13:21:12.527,2025-09-05 13:34:55.311,SHORT,24774.8,24794.9,-21.100000000002183,-9495.000000000982,SL
2025-09-05,2025-09-05 13:45:28.309,2025-09-05 13:49:27.493,LONG,24820.0,24855.0,34.0,15300.0,TRAIL_SL
2025-09-05,2025-09-05 13:55:07.519,2025-09-05 14:01:27.808,LONG,24857.8,24882.8,24.0,10800.0,TRAIL_SL
2025-09-05,2025-09-05 14:09:10.566,2025-09-05 14:36:38.047,LONG,24856.0,24835.9,-21.099999999998545,-9494.999999999345,SL
2025-09-05,2025-09-05 14:42:53.042,2025-09-05 15:12:53.548,LONG,24840.0,24850.0,9.0,4050.0,TIME
2025-09-05,2025-09-05 15:18:45.833,2025-09-05 15:30:00.584,LONG,24852.7,24849.6,-4.100000000002183,-1845.0000000009823,EOD
2025-09-08,2025-09-08 09:15:52.572,2025-09-08 09:15:55.596,LONG,24900.0,24899.0,-2.0,-900.0,VWAP_CROSS
2025-09-08,2025-09-08 09:21:35.654,2025-09-08 09:21:51.858,SHORT,24884.5,24891.6,-8.099999999998545,-3644.999999999345,VWAP_CROSS
2025-09-08,2025-09-08 09:28:01.692,2025-09-08 09:28:16.655,SHORT,24877.0,24888.0,-12.0,-5400.0,VWAP_CROSS
2025-09-08,2025-09-08 09:34:02.868,2025-09-08 09:55:39.905,LONG,24918.4,24905.0,-14.400000000001455,-6480.000000000655,VWAP_CROSS
2025-09-08,2025-09-08 10:01:13.618,2025-09-08 10:09:48.386,LONG,24915.0,24905.0,-11.0,-4950.0,VWAP_CROSS
2025-09-08,2025-09-08 10:15:56.392,2025-09-08 10:17:43.178,SHORT,24892.9,24906.9,-15.0,-6750.0,VWAP_CROSS
2025-09-08,2025-09-08 10:35:25.409,2025-09-08 10:40:28.422,SHORT,24880.0,24900.0,-21.0,-9450.0,SL
