Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-09 10:11:51.517,SHORT,25126.0,25134.0,-9.0,-4050.0,STOP
2025-10-09 10:38:54.505,SHORT,25202.0,25209.0,-8.0,-3600.0,STOP
2025-10-09 11:01:04.504,LONG,25223.0,25238.7,14.700000000000728,6615.000000000327,TARGET
2025-10-09 11:29:22.845,LONG,25265.0,25258.0,-8.0,-3600.0,STOP
2025-10-09 11:47:00.428,LONG,25277.0,25269.6,-8.400000000001455,-3780.000000000655,STOP
2025-10-09 12:07:55.088,SHORT,25237.0,25245.4,-9.400000000001455,-4230.000000000655,STOP
2025-10-09 12:33:59.112,LONG,25260.0,25251.8,-9.200000000000728,-4140.000000000327,STOP
2025-10-09 13:33:06.207,SHORT,25270.0,25255.0,14.0,6300.0,TARGET
2025-10-09 13:56:12.147,SHORT,25272.6,25279.9,-8.30000000000291,-3735.0000000013097,STOP
2025-10-09 14:15:20.863,SHORT,25245.0,25255.0,-11.0,-4950.0,STOP
2025-10-09 14:37:57.456,LONG,25238.8,25254.9,15.100000000002183,6795.000000000982,TARGET
2025-10-09 15:03:15.725,LONG,25282.0,25273.2,-9.799999999999272,-4409.999999999673,STOP
2025-10-10 09:15:45.236,LONG,25286.5,25279.1,-8.400000000001455,-3780.000000000655,STOP
2025-10-10 09:31:41.718,LONG,25354.9,25347.0,-8.900000000001455,-4005.000000000655,STOP
2025-10-10 10:02:32.442,LONG,25387.0,25380.0,-8.0,-3600.0,STOP
2025-10-10 10:23:04.254,SHORT,25396.0,25405.0,-10.0,-4500.0,STOP
2025-10-10 10:56:17.613,LONG,25421.1,25410.1,-12.0,-5400.0,STOP
2025-10-10 11:36:58.526,SHORT,25414.0,25421.4,-8.400000000001455,-3780.000000000655,STOP
2025-10-10 12:42:00.548,LONG,25420.0,25436.0,15.0,6750.0,TARGET
2025-10-10 13:04:20.550,SHORT,25435.3,25442.3,-8.0,-3600.0,STOP
2025-10-10 13:25:24.117,SHORT,25436.0,25443.0,-8.0,-3600.0,STOP
2025-10-10 13:54:49.602,SHORT,25439.1,25446.1,-8.0,-3600.0,STOP
2025-10-10 14:19:39.340,SHORT,25422.5,25429.8,-8.299999999999272,-3734.9999999996726,STOP
2025-10-10 14:41:40.146,LONG,25433.0,25426.0,-8.0,-3600.0,STOP
2025-10-10 15:21:45.430,LONG,25416.3,25408.0,-9.299999999999272,-4184.999999999673,STOP
2025-10-13 09:15:40.008,SHORT,25315.0,25323.9,-9.900000000001455,-4455.000000000655,STOP
2025-10-13 09:32:00.749,SHORT,25256.7,25265.0,-9.299999999999272,-4184.999999999673,STOP
2025-10-13 09:50:13.231,SHORT,25302.5,25285.0,16.5,7425.0,TARGET
2025-10-13 10:16:22.243,LONG,25285.0,25275.0,-11.0,-4950.0,STOP
2025-10-13 10:36:40.018,LONG,25298.0,25291.0,-8.0,-3600.0,STOP
