Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-08,2025-09-08 11:54:13.926,2025-09-08 12:24:15.289,LONG,24916.0,24936.0,19.0,8550.0,TIME,30824.999999986903,59939.99999999214,-29115.00000000524
2025-09-08,2025-09-08 12:35:56.944,2025-09-08 12:40:52.971,SHORT,24949.0,24969.0,-21.0,-9450.0,SL,21374.999999986903,59939.99999999214,-38565.00000000524
2025-09-08,2025-09-08 12:47:34.724,2025-09-08 13:17:34.728,LONG,24968.0,24965.0,-4.0,-1800.0,TIME,19574.999999986903,59939.99999999214,-40365.00000000524
2025-09-08,2025-09-08 13:23:35.489,2025-09-08 13:48:11.501,LONG,24955.0,24933.6,-22.400000000001455,-10080.000000000655,SL,9494.999999986248,59939.99999999214,-50445.00000000589
2025-09-08,2025-09-08 13:57:32.301,2025-09-08 14:06:52.521,LONG,24950.0,24929.0,-22.0,-9900.0,SL,-405.00000001375156,59939.99999999214,-60345.00000000589
2025-09-08,2025-09-08 14:16:32.199,2025-09-08 14:46:33.103,LONG,24955.0,24951.3,-4.700000000000728,-2115.0000000003274,TIME,-2520.000000014079,59939.99999999214,-62460.00000000622
2025-09-08,2025-09-08 14:51:58.812,2025-09-08 14:53:10.842,LONG,24920.0,24900.0,-21.0,-9450.0,SL,-11970.000000014079,59939.99999999214,-71910.00000000623
2025-09-08,2025-09-08 14:58:52.555,2025-09-08 15:01:32.756,LONG,24905.0,24884.0,-22.0,-9900.0,SL,-21870.00000001408,59939.99999999214,-81810.00000000623
2025-09-08,2025-09-08 15:09:38.320,2025-09-08 15:24:54.331,SHORT,24885.6,24908.0,-23.400000000001455,-10530.000000000655,SL,-32400.000000014734,59939.99999999214,-92340.00000000687
2025-09-09,2025-09-09 09:24:45.654,2025-09-09 09:54:45.892,LONG,24950.0,24954.0,3.0,1350.0,TIME,-31050.000000014734,59939.99999999214,-90990.00000000687
