Date,Time,Trading_Symbol,Instrument_Token,LTP,LTQ,Volume,Open_Interest,BestBid,BestAsk,BidSize,AskSize,DateTime
19/11/2025,12:29:12.183,NIFTY25NOVFUT,9485826,26049.9,75,2888100,17207100,26045.5,26050.0,75,900,2025-11-19 12:29:12.183
19/11/2025,12:29:13.744,NIFTY25NOVFUT,9485826,26050.0,75,2888250,17207100,26045.5,26050.0,75,750,2025-11-19 12:29:13.744
19/11/2025,12:29:14.219,NIFTY25NOVFUT,9485826,26050.0,75,2888250,17207100,26045.5,26050.0,75,750,2025-11-19 12:29:14.219
19/11/2025,12:29:14.943,NIFTY25NOVFUT,9485826,26050.0,75,2888250,17207100,26045.5,26050.0,75,750,2025-11-19 12:29:14.943
19/11/2025,12:29:15.667,NIFTY25NOVFUT,9485826,26050.0,75,2888925,17207100,26045.6,26050.0,75,675,2025-11-19 12:29:15.667
19/11/2025,12:29:16.454,NIFTY25NOVFUT,9485826,26050.0,75,2888925,17207100,26045.6,26050.0,75,675,2025-11-19 12:29:16.454
19/11/2025,12:29:17.481,NIFTY25NOVFUT,9485826,26050.0,75,2888925,17207100,26045.9,26050.0,150,675,2025-11-19 12:29:17.481
19/11/2025,12:29:17.973,NIFTY25NOVFUT,9485826,26050.0,150,2888925,17207100,26045.9,26050.0,150,675,2025-11-19 12:29:17.973
19/11/2025,12:29:18.944,NIFTY25NOVFUT,9485826,26050.0,75,2889750,17207100,26045.4,26050.0,300,75,2025-11-19 12:29:18.944
19/11/2025,12:29:20.421,NIFTY25NOVFUT,9485826,26050.0,75,2889750,17207100,26048.0,26050.0,150,225,2025-11-19 12:29:20.421
19/11/2025,12:29:21.206,NIFTY25NOVFUT,9485826,26050.0,75,2889750,17207100,26048.0,26050.0,150,225,2025-11-19 12:29:21.206
19/11/2025,12:29:22.231,NIFTY25NOVFUT,9485826,26050.0,75,2889975,17207100,26050.0,26051.0,75,75,2025-11-19 12:29:22.231
19/11/2025,12:29:22.979,NIFTY25NOVFUT,9485826,26050.0,75,2889975,17207100,26050.0,26051.0,75,75,2025-11-19 12:29:22.979
19/11/2025,12:29:23.698,NIFTY25NOVFUT,9485826,26050.0,75,2890125,17207100,26048.0,26049.0,150,150,2025-11-19 12:29:23.698
19/11/2025,12:29:25.199,NIFTY25NOVFUT,9485826,26049.0,75,2890125,17207100,26048.0,26049.0,150,150,2025-11-19 12:29:25.199
19/11/2025,12:29:25.495,NIFTY25NOVFUT,9485826,26049.0,75,2890200,17207100,26048.0,26049.0,150,75,2025-11-19 12:29:25.495
19/11/2025,12:29:26.930,NIFTY25NOVFUT,9485826,26049.0,75,2890200,17207100,26048.0,26049.0,150,75,2025-11-19 12:29:26.930
19/11/2025,12:29:28.704,NIFTY25NOVFUT,9485826,26051.5,75,2890425,17207100,26048.1,26051.5,300,600,2025-11-19 12:29:28.704
19/11/2025,12:29:28.967,NIFTY25NOVFUT,9485826,26051.5,75,2890425,17207100,26048.1,26051.5,300,600,2025-11-19 12:29:28.967
19/11/2025,12:29:30.205,NIFTY25NOVFUT,9485826,26050.0,75,2890425,17207100,26048.1,26051.5,300,600,2025-11-19 12:29:30.205
19/11/2025,12:29:30.512,NIFTY25NOVFUT,9485826,26050.0,75,2890500,17207100,26048.1,26050.0,300,75,2025-11-19 12:29:30.512
19/11/2025,12:29:32.240,NIFTY25NOVFUT,9485826,26050.0,75,2890650,17207100,26048.1,26050.0,300,150,2025-11-19 12:29:32.240
19/11/2025,12:29:34.340,NIFTY25NOVFUT,9485826,26045.0,75,2891250,17207100,26045.0,26048.5,600,75,2025-11-19 12:29:34.340
19/11/2025,12:29:35.692,NIFTY25NOVFUT,9485826,26045.0,75,2891250,17207100,26045.0,26048.0,675,300,2025-11-19 12:29:35.692
19/11/2025,12:29:36.137,NIFTY25NOVFUT,9485826,26048.0,75,2891250,17207100,26045.0,26048.0,675,300,2025-11-19 12:29:36.137
19/11/2025,12:29:36.234,NIFTY25NOVFUT,9485826,26048.0,75,2891250,17207100,26045.0,26048.0,675,300,2025-11-19 12:29:36.234
19/11/2025,12:29:36.700,NIFTY25NOVFUT,9485826,26045.0,150,2891250,17207100,26045.0,26048.0,675,300,2025-11-19 12:29:36.700
19/11/2025,12:29:36.948,NIFTY25NOVFUT,9485826,26045.0,150,2892225,17207100,26044.0,26047.6,375,300,2025-11-19 12:29:36.948
19/11/2025,12:29:37.169,NIFTY25NOVFUT,9485826,26045.0,150,2892225,17207100,26044.0,26047.6,375,300,2025-11-19 12:29:37.169
19/11/2025,12:29:38.071,NIFTY25NOVFUT,9485826,26047.4,150,2892225,17207100,26044.0,26047.6,375,300,2025-11-19 12:29:38.071
19/11/2025,12:29:38.713,NIFTY25NOVFUT,9485826,26045.0,75,2892450,17207100,26044.0,26047.6,375,375,2025-11-19 12:29:38.713
19/11/2025,12:29:39.717,NIFTY25NOVFUT,9485826,26044.0,75,2892450,17207100,26044.0,26047.6,375,375,2025-11-19 12:29:39.717
19/11/2025,12:29:40.518,NIFTY25NOVFUT,9485826,26046.9,75,2892675,17207100,26044.0,26046.9,225,225,2025-11-19 12:29:40.518
19/11/2025,12:29:41.006,NIFTY25NOVFUT,9485826,26046.9,75,2892675,17207100,26044.0,26046.9,225,225,2025-11-19 12:29:41.006
19/11/2025,12:29:41.953,NIFTY25NOVFUT,9485826,26046.9,75,2892675,17207100,26044.0,26045.0,225,75,2025-11-19 12:29:41.953
19/11/2025,12:29:42.490,NIFTY25NOVFUT,9485826,26045.0,75,2892675,17207100,26044.0,26045.0,225,75,2025-11-19 12:29:42.490
19/11/2025,12:29:43.734,NIFTY25NOVFUT,9485826,26045.0,75,2892825,17207100,26045.0,26046.0,75,150,2025-11-19 12:29:43.734
19/11/2025,12:29:45.417,NIFTY25NOVFUT,9485826,26045.0,75,2892825,17207100,26045.0,26046.0,75,225,2025-11-19 12:29:45.417
19/11/2025,12:29:47.000,NIFTY25NOVFUT,9485826,26045.0,75,2892825,17207100,26045.0,26046.0,75,300,2025-11-19 12:29:47.000
19/11/2025,12:29:47.207,NIFTY25NOVFUT,9485826,26045.0,75,2892825,17207100,26045.0,26046.0,75,300,2025-11-19 12:29:47.207
19/11/2025,12:29:48.210,NIFTY25NOVFUT,9485826,26046.0,75,2892825,17207100,26045.0,26046.0,75,300,2025-11-19 12:29:48.210
19/11/2025,12:29:48.934,NIFTY25NOVFUT,9485826,26044.0,75,2893050,17207100,26044.0,26046.0,150,225,2025-11-19 12:29:48.934
19/11/2025,12:29:49.958,NIFTY25NOVFUT,9485826,26044.0,75,2893050,17207100,26044.0,26046.0,150,225,2025-11-19 12:29:49.958
19/11/2025,12:29:50.210,NIFTY25NOVFUT,9485826,26044.0,75,2893500,17207100,26044.0,26046.0,150,225,2025-11-19 12:29:50.210
